"CODIGO_CARGO";"DESCRICAO"
"10","ANALISTA  DE PRODUTO"
"20","ANALISTA CONTAS A PAGAR"
"30","ANALISTA CONTABIL"
"40","ANALISTA CONTABIL I"
"50","ANALISTA DE PCP"
"60","ANALISTA DE PRODUCAO"
"70","ANALISTA DE RH"
"80","ANALISTA FINANCEIRO"
"90","ASSIST DE PCP"
"100","ASSIST. ADMINISTRATIVO II"
"110","ASSIST. ADMINISTRATIVO III"
"120","ASSIST. ADMINISTRATIVO IV"
"130","ASSIST. DE ALMOXARIFADO"
"140","ASSIST. DE ALMOXARIFADO I"
"150","ASSIST. DE MANUTENCAO"
"160","ASSIST. DE MECÃ‚NICA"
"170","ASSIST. DE PRODUCAO"
"180","ASSIST. DE PRODUCAO I"
"190","ASSIST. DE SUP. DE INFORMATICA"
"200","ASSIST. EXPEDICAO"
"210","ASSIST.DE PRODUCAO III"
"220","ASSIST.DE PRODUCAO IV"
"230","ASSISTENTE COMERCIAL"
"240","ASSISTENTE CONTABIL"
"250","AUX. ADMINISTRATIVO"
"260","AUX. DE SERV. GERAIS"
"270","AUXILIAR PRODUCAO"
"280","COMPRADOR"
"290","COORD. UNIDADES EXTERNAS"
"300","CORTADOR"
"310","COSTUREIRA"
"320","DIRETOR"
"330","ELETRICISTA"
"340","ENCARREGADA"
"350","ENFESTADOR"
"360","ENGENHEIRO DE PRODUCAO JUNIOR"
"370","ENGENHEIRO TEXTIL"
"380","ESTOQUISTA"
"390","GERENTE ADM E FINANCEIRO"
"400","GERENTE DE RH"
"410","GERENTE INDUSTRIAL"
"420","GERENTE. DESENV. PRODUTOS"
"430","J. APREND. ASSIST. ADMINISTRATIVO"
"440","MECANICO DE MANUTENCAO"
"450","MECANICO DE TECELAGEM"
"460","MECANICO MAQ. COSTURA"
"470","MOTORISTA I"
"480","OP DE MAQUINA DE TECELAGEM I"
"490","OPERADOR DE MAQUINA"
"500","OPERADOR DE MAQUINA DE TECELAGEM"
"510","REVISOR DE QUALIDADE"
"520","REVISOR DE QUALIDADE I"
"530","REVISOR TEXTIL"
"540","RISCADOR"
"550","SUPERVISORA"
"560","TEC. EM SEGURANCA DO TRABALHO"
"570","TECNICO SUPORTE DE INFORMATICA"
